,DATE,OrderNumber,Coord
0,12/11/2018,3780678,"[19.5, 21.0]"
1,12/11/2018,3780650,"[32.5, 22.5]"
2,12/11/2018,3780649,"[19.5, 21.0]"
3,12/11/2018,3780645,"[31.25, 10.5]"
4,12/11/2018,3780638,"[47.5, 18.0]"
5,12/11/2018,3780641,"[44.25, 12.0]"
6,12/11/2018,3780633,"[42.25, 9.0]"
7,12/11/2018,3780621,"[39.0, 9.0]"
8,12/11/2018,3780621,"[20.75, 21.0]"
9,12/11/2018,3780618,"[44.25, 10.5]"
10,12/11/2018,3780596,"[32.5, 21.0]"
11,12/11/2018,3780592,"[31.25, 16.5]"
12,12/11/2018,3780592,"[31.25, 16.5]"
13,12/11/2018,3780588,"[45.5, 13.5]"
14,12/11/2018,3780589,"[34.5, 12.0]"
15,12/11/2018,3780574,"[44.25, 22.5]"
16,12/11/2018,3780574,"[19.5, 21.0]"
17,12/11/2018,3780556,"[19.5, 21.0]"
18,12/11/2018,3780559,"[35.75, 13.5]"
19,12/11/2018,3780559,"[22.75, 15.0]"
20,12/11/2018,3780559,"[31.25, 16.5]"
21,12/11/2018,3780555,"[22.75, 15.0]"
22,12/11/2018,3780555,"[19.5, 21.0]"
23,12/11/2018,3780553,"[41.0, 13.5]"
24,12/11/2018,3780530,"[39.0, 12.0]"
25,12/11/2018,3780514,"[44.25, 10.5]"
26,12/11/2018,3780514,"[20.75, 9.0]"
27,12/11/2018,3780504,"[47.5, 6.0]"
28,12/11/2018,3780505,"[42.25, 16.5]"
29,12/11/2018,3780503,"[44.25, 13.5]"
30,12/11/2018,3780497,"[39.0, 12.0]"
31,12/11/2018,3780497,"[19.5, 19.5]"
32,12/11/2018,3780497,"[31.25, 16.5]"
33,12/11/2018,3780497,"[15.25, 21.0]"
34,12/11/2018,3780481,"[44.25, 6.0]"
35,12/11/2018,3780481,"[19.5, 21.0]"
36,12/11/2018,3780482,"[19.5, 21.0]"
37,12/11/2018,3780482,"[45.5, 22.5]"
38,12/11/2018,3780450,"[19.5, 21.0]"
39,12/11/2018,3780450,"[45.5, 13.5]"
40,12/11/2018,3780423,"[26, 21.0]"
41,12/11/2018,3780175,"[19.5, 21.0]"
42,12/11/2018,3780173,"[19.5, 21.0]"
43,12/11/2018,3780173,"[44.25, 21.0]"
44,12/11/2018,3780138,"[44.25, 22.5]"
45,12/11/2018,3780138,"[19.5, 21.0]"
46,12/11/2018,3780125,"[19.5, 21.0]"
47,12/11/2018,3780122,"[37.75, 10.5]"
48,12/11/2018,3780122,"[26, 21.0]"
49,12/11/2018,3780114,"[37.75, 15.0]"
50,12/11/2018,3780084,"[35.75, 22.5]"
51,12/11/2018,3780087,"[45.5, 19.5]"
52,12/11/2018,3780080,"[44.25, 16.5]"
53,12/11/2018,3780080,"[19.5, 21.0]"
54,12/11/2018,3780069,"[19.5, 21.0]"
55,12/11/2018,3780069,"[44.25, 16.5]"
56,12/11/2018,3780060,"[19.5, 21.0]"
57,12/11/2018,3780007,"[24, 9.0]"
58,12/11/2018,3779985,"[32.5, 21.0]"
59,12/11/2018,3779972,"[32.5, 15.0]"
60,12/11/2018,3779923,"[19.5, 21.0]"
61,12/11/2018,3779923,"[37.75, 21.0]"
62,12/11/2018,3779930,"[39.0, 9.0]"
63,12/11/2018,3779887,"[19.5, 21.0]"
64,12/11/2018,3781799,"[19.5, 21.0]"
65,12/11/2018,3781789,"[47.5, 6.0]"
66,12/11/2018,3781784,"[34.5, 16.5]"
67,12/11/2018,3781780,"[41.0, 15.0]"
68,12/11/2018,3781778,"[24, 10.5]"
69,12/11/2018,3781765,"[37.75, 13.5]"
70,12/11/2018,3781765,"[22.75, 12.0]"
71,12/11/2018,3781763,"[20.75, 9.0]"
72,12/11/2018,3781737,"[41.0, 15.0]"
73,12/11/2018,3781730,"[34.5, 15.0]"
74,12/11/2018,3781730,"[31.25, 13.5]"
75,12/11/2018,3781730,"[34.5, 15.0]"
76,12/11/2018,3781730,"[34.5, 15.0]"
77,12/11/2018,3781722,"[41.0, 18.0]"
78,12/11/2018,3781708,"[24, 16.5]"
79,12/11/2018,3781698,"[22.75, 13.5]"
80,12/11/2018,3781699,"[24, 18.0]"
81,12/11/2018,3781691,"[42.25, 12.0]"
82,12/11/2018,3781687,"[20.75, 16.5]"
83,12/11/2018,3781682,"[34.5, 9.0]"
84,12/11/2018,3781680,"[45.5, 13.5]"
85,12/11/2018,3781681,"[24, 19.5]"
86,12/11/2018,3781669,"[44.25, 15.0]"
87,12/11/2018,3781657,"[26, 15.0]"
88,12/11/2018,3781560,"[32.5, 21.0]"
89,12/11/2018,3781548,"[34.5, 10.5]"
90,12/11/2018,3781521,"[24, 21.0]"
91,12/11/2018,3781521,"[24, 9.0]"
92,12/11/2018,3781521,"[20.75, 9.0]"
93,12/11/2018,3781517,"[34.5, 13.5]"
94,12/11/2018,3781517,"[24, 18.0]"
95,12/11/2018,3781517,"[26, 19.5]"
96,12/11/2018,3781517,"[26, 21.0]"
97,12/11/2018,3781509,"[22.75, 13.5]"
98,12/11/2018,3781499,"[20.75, 12.0]"
99,12/11/2018,3781490,"[45.5, 16.5]"
100,12/11/2018,3781488,"[34.5, 12.0]"
101,12/11/2018,3781477,"[41.0, 10.5]"
102,12/11/2018,3781475,"[44.25, 12.0]"
103,12/11/2018,3781474,"[32.5, 6.0]"
104,12/11/2018,3781472,"[41.0, 15.0]"
105,12/11/2018,3781471,"[37.75, 21.0]"
106,12/11/2018,3781455,"[48.75, 9.0]"
107,12/11/2018,3781438,"[24, 18.0]"
108,12/11/2018,3781435,"[32.5, 21.0]"
109,12/11/2018,3781436,"[26, 22.5]"
110,12/11/2018,3781415,"[22.75, 15.0]"
111,12/11/2018,3781415,"[44.25, 9.0]"
112,12/11/2018,3781398,"[39.0, 15.0]"
113,12/11/2018,3781389,"[26, 16.5]"
114,12/11/2018,3781366,"[22.75, 15.0]"
115,12/11/2018,3781366,"[42.25, 13.5]"
116,12/11/2018,3781359,"[41.0, 10.5]"
